item,lp,isk
Zainou 'Snapshot' Torpedoes TD-602,2500,2500000
Zainou 'Snapshot' Torpedoes TD-604,37500,37500000
Zainou 'Snapshot' Torpedoes TD-606,250000,250000000
Zainou 'Snapshot' Cruise Missiles CM-602,2500,2500000
Zainou 'Snapshot' Cruise Missiles CM-604,37500,37500000
Zainou 'Snapshot' Cruise Missiles CM-606,250000,250000000
Eifyr and Co. 'Gunslinger' Medium Projectile Turret MP-802,2500,2500000
Eifyr and Co. 'Gunslinger' Medium Projectile Turret MP-804,37500,37500000
Eifyr and Co. 'Gunslinger' Medium Projectile Turret MP-806,250000,250000000
Eifyr and Co. 'Gunslinger' Motion Prediction MR-702,2500,2500000
Eifyr and Co. 'Gunslinger' Motion Prediction MR-704,37500,37500000
Eifyr and Co. 'Gunslinger' Motion Prediction MR-706,250000,250000000
Eifyr and Co. 'Gunslinger' Surgical Strike SS-902,2500,2500000
Eifyr and Co. 'Gunslinger' Surgical Strike SS-904,37500,37500000
Eifyr and Co. 'Gunslinger' Surgical Strike SS-906,250000,250000000
Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1002,2500,2500000
Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1004,37500,37500000
Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1006,250000,250000000
Eifyr and Co. 'Gunslinger' Small Projectile Turret SP-602,2500,2500000
Eifyr and Co. 'Gunslinger' Small Projectile Turret SP-604,37500,37500000
Eifyr and Co. 'Gunslinger' Small Projectile Turret SP-606,250000,250000000
Inherent Implants 'Lancer' Small Energy Turret SE-602,2500,2500000
Inherent Implants 'Lancer' Controlled Bursts CB-702,2500,2500000
Inherent Implants 'Lancer' Gunnery RF-902,2500,2500000
Inherent Implants 'Lancer' Large Energy Turret LE-1002,2500,2500000
Inherent Implants 'Lancer' Medium Energy Turret ME-802,2500,2500000
Inherent Implants 'Lancer' Small Energy Turret SE-604,37500,37500000
Inherent Implants 'Lancer' Controlled Bursts CB-704,37500,37500000
Inherent Implants 'Lancer' Gunnery RF-904,37500,37500000
Inherent Implants 'Lancer' Large Energy Turret LE-1004,37500,37500000
Inherent Implants 'Lancer' Medium Energy Turret ME-804,37500,37500000
Inherent Implants 'Lancer' Small Energy Turret SE-606,250000,250000000
Inherent Implants 'Lancer' Controlled Bursts CB-706,250000,250000000
Inherent Implants 'Lancer' Gunnery RF-906,250000,250000000
Inherent Implants 'Lancer' Large Energy Turret LE-1006,250000,250000000
Inherent Implants 'Lancer' Medium Energy Turret ME-806,250000,250000000
Zainou 'Deadeye' Sharpshooter ST-902,2500,2500000
Zainou 'Deadeye' Trajectory Analysis TA-704,37500,37500000
Zainou 'Deadeye' Trajectory Analysis TA-706,250000,250000000
Zainou 'Deadeye' Large Hybrid Turret LH-1002,2500,2500000
Zainou 'Deadeye' Large Hybrid Turret LH-1004,37500,37500000
Zainou 'Deadeye' Large Hybrid Turret LH-1006,250000,250000000
Zainou 'Deadeye' Small Hybrid Turret SH-602,2500,2500000
Zainou 'Deadeye' Small Hybrid Turret SH-604,37500,37500000
Zainou 'Deadeye' Small Hybrid Turret SH-606,250000,250000000
Zainou 'Gnome' Weapon Upgrades WU-1002,2500,2500000
Zainou 'Gnome' Weapon Upgrades WU-1004,37500,37500000
Zainou 'Gnome' Weapon Upgrades WU-1006,250000,250000000
Zainou 'Deadeye' Medium Hybrid Turret MH-802,2500,2500000
Zainou 'Deadeye' Medium Hybrid Turret MH-804,37500,37500000
Zainou 'Deadeye' Medium Hybrid Turret MH-806,250000,250000000
Zainou 'Deadeye' Sharpshooter ST-904,37500,37500000
Zainou 'Deadeye' Sharpshooter ST-906,250000,250000000
Zainou 'Deadeye' Trajectory Analysis TA-702,2500,2500000
Inherent Implants 'Squire' Capacitor Management EM-802,2500,2500000
Inherent Implants 'Squire' Capacitor Management EM-804,37500,37500000
Inherent Implants 'Squire' Capacitor Management EM-806,250000,250000000
Inherent Implants 'Squire' Capacitor Systems Operation EO-602,2500,2500000
Inherent Implants 'Squire' Capacitor Systems Operation EO-604,37500,37500000
Inherent Implants 'Squire' Capacitor Systems Operation EO-606,250000,250000000
Inherent Implants 'Squire' Capacitor Emission Systems ES-702,2500,2500000
Inherent Implants 'Squire' Capacitor Emission Systems ES-704,37500,37500000
Inherent Implants 'Squire' Capacitor Emission Systems ES-706,250000,250000000
Inherent Implants 'Squire' Energy Pulse Weapons EP-702,2500,2500000
Inherent Implants 'Squire' Energy Pulse Weapons EP-704,37500,37500000
Inherent Implants 'Squire' Energy Pulse Weapons EP-706,250000,250000000
Inherent Implants 'Squire' Energy Grid Upgrades EU-702,2500,2500000
Inherent Implants 'Squire' Energy Grid Upgrades EU-704,37500,37500000
Inherent Implants 'Squire' Energy Grid Upgrades EU-706,250000,250000000
Inherent Implants 'Squire' Power Grid Management EG-602,2500,2500000
Inherent Implants 'Squire' Power Grid Management EG-604,37500,37500000
Inherent Implants 'Squire' Power Grid Management EG-606,250000,250000000
Zainou 'Gypsy' Electronics Upgrades EU-602,2500,2500000
Zainou 'Gypsy' Electronics Upgrades EU-604,37500,37500000
Zainou 'Gypsy' Electronics Upgrades EU-606,250000,250000000
Zainou 'Gypsy' CPU Management EE-602,2500,2500000
Zainou 'Gypsy' CPU Management EE-604,37500,37500000
Zainou 'Gypsy' CPU Management EE-606,250000,250000000
Zainou 'Gypsy' Signature Analysis SA-702,2500,2500000
Zainou 'Gypsy' Signature Analysis SA-704,37500,37500000
Zainou 'Gypsy' Signature Analysis SA-706,250000,250000000
Zainou 'Gypsy' Electronic Warfare EW-902,2500,2500000
Zainou 'Gypsy' Electronic Warfare EW-904,37500,37500000
Zainou 'Gypsy' Electronic Warfare EW-906,250000,250000000
Zainou 'Gypsy' Long Range Targeting LT-802,2500,2500000
Zainou 'Gypsy' Long Range Targeting LT-804,37500,37500000
Zainou 'Gypsy' Long Range Targeting LT-806,250000,250000000
Zainou 'Gypsy' Propulsion Jamming PJ-802,2500,2500000
Zainou 'Gypsy' Propulsion Jamming PJ-804,37500,37500000
Zainou 'Gypsy' Propulsion Jamming PJ-806,250000,250000000
Zainou 'Gypsy' Sensor Linking SL-902,2500,2500000
Zainou 'Gypsy' Sensor Linking SL-904,37500,37500000
Zainou 'Gypsy' Sensor Linking SL-906,250000,250000000
Zainou 'Gypsy' Weapon Disruption WD-902,2500,2500000
Zainou 'Gypsy' Weapon Disruption WD-904,37500,37500000
Zainou 'Gypsy' Weapon Disruption WD-906,250000,250000000
Zainou 'Gypsy' Target Painting TG-902,2500,2500000
Zainou 'Gypsy' Target Painting TG-904,37500,37500000
Zainou 'Gypsy' Target Painting TG-906,250000,250000000
Inherent Implants 'Noble' Repair Systems RS-602,2500,2500000
Inherent Implants 'Noble' Repair Systems RS-604,37500,37500000
Inherent Implants 'Noble' Repair Systems RS-606,250000,250000000
Inherent Implants 'Noble' Remote Armor Repair Systems RA-702,2500,2500000
Inherent Implants 'Noble' Remote Armor Repair Systems RA-704,37500,37500000
Inherent Implants 'Noble' Remote Armor Repair Systems RA-706,250000,250000000
Inherent Implants 'Noble' Mechanic MC-802,2500,2500000
Inherent Implants 'Noble' Mechanic MC-804,37500,37500000
Inherent Implants 'Noble' Mechanic MC-806,250000,250000000
Inherent Implants 'Noble' Repair Proficiency RP-902,2500,2500000
Inherent Implants 'Noble' Repair Proficiency RP-904,37500,37500000
Inherent Implants 'Noble' Repair Proficiency RP-906,250000,250000000
Inherent Implants 'Noble' Hull Upgrades HG-1002,2500,2500000
Inherent Implants 'Noble' Hull Upgrades HG-1004,37500,37500000
Inherent Implants 'Noble' Hull Upgrades HG-1006,250000,250000000
Armored Command Mindlink,20000,20000000
Shield Command Mindlink,20000,20000000
Information Command Mindlink,20000,20000000
Skirmish Command Mindlink,20000,20000000
Mining Foreman Mindlink,20000,20000000
Federation Navy Comet Police SKIN (Permanent),37500,25000000
CONCORD Warp Disruption Field Generator,180000,100000000
